ごるふをするおんな	ごるふをするおんな 🏌️‍♀️
宇宙飛行士	宇宙飛行士 👨‍🚀 👩‍🚀 🧑‍🚀
ぜんもんせいかい	ぜんもんせいかい 💯
あきまーく	あきまーく 🈳
えでぃっと	えでぃっと ✒️
卵	卵 🍳 🐣 🥚 🪺
じょせいとだんせいのかっぷる	じょせいとだんせいのかっぷる 👩‍❤️‍👨
o	o 🅾️
p	p 🅿️
たまき	たまき 🔗
A型	A型 🅰️
すいみんぐ	すいみんぐ 🏊️ 🏊‍♀️ 🏊‍♂️
首を縦に振る	首を縦に振る 🙂‍↕️
たまご	たまご 🍳 🐣 🥚 🪺
おもちゃ	おもちゃ 🧸 🧸 🪀 🪀 🪁 🪁 🪃
魚を食べる	魚を食べる 🦦
ナザール	ナザール 🧿
不機嫌な猫	不機嫌な猫 😾
はーどとう	はーどとう 🇭🇲
ハート（青）	ハート（青） 💙
しゃぼんだま	しゃぼんだま 🫧
すてーき	すてーき 🥩
おとなひとりとこどもふたりのかぞく	おとなひとりとこどもふたりのかぞく 🧑‍🧒‍🧒
女性と女の子と女の子の家族	女性と女の子と女の子の家族 👩‍👧‍👧
パレスチナ自治区	パレスチナ自治区 🇵🇸
お祭り	お祭り 🎆 🎇
すうじのにゅうりょく	すうじのにゅうりょく 🔢
たいわん	たいわん 🇹🇼
だんせいとだんせいとおとこのこのかぞく	だんせいとだんせいとおとこのこのかぞく 👨‍👨‍👦
羽毛	羽毛 🪶
たまる	たまる 🫔
こわれた	こわれた ⛓️‍💥
さくら	さくら 🌸 🌸
左矢印	左矢印 ⬅️
フェロー諸島	フェロー諸島 🇫🇴
悪人	悪人 🦹
でんしゃ	でんしゃ 🚃 🚄 🚅 🚆 🚇️ 🚈 🚉 🚊 🚋 🚝 🚞 🚟
ビールで乾杯	ビールで乾杯 🍻
吸収	吸収 🧽
高速道路	高速道路 🛣️
和服	和服 👘
あみゅーずめんとぱーく	あみゅーずめんとぱーく 🎡 🎢
口	口 👄 🤐 🫦
あくい	あくい 🖤
えんぴつ	えんぴつ ✏️ 📝
車椅子マーク	車椅子マーク ♿️
いやし	いやし 💆
乳牛	乳牛 🐄
合	合 🈴
蒸気機関車	蒸気機関車 🚂
たくはいびん	たくはいびん 📦️
はいきんぐしゅーず	はいきんぐしゅーず 🥾
可	可 🉑
ひょうしょう	ひょうしょう 🎖️ 🏅 🏆️
紅包	紅包 🧧
ちょうかく	ちょうかく 🦻 🧏 🧏‍♀️ 🧏‍♂️
フォークランド諸島	フォークランド諸島 🇫🇰
稲妻	稲妻 ⚡️ ⛈️ 🌩️
右	右 ↪️ ➡️ 👉️ 🤜
すぽんじ	すぽんじ 🧽
くっくしょとう	くっくしょとう 🇨🇰
くろいとり	くろいとり 🐦‍⬛
おなか	おなか 🫄
両目	両目 👀
とろぴかる	とろぴかる 🍋‍🟩 🍍 🍹 🥭
どっとつきひしがた	どっとつきひしがた 💠
へっどほん	へっどほん 🎧️
ちょうきょりそう	ちょうきょりそう 🎽
べーるのじょせい	べーるのじょせい 👰‍♀️
ちぇーん	ちぇーん ⛓️ ⛓️‍💥
ひたいにてをあてるひと	ひたいにてをあてるひと 🤦
顔３（かなしいカオ）	顔３（かなしいカオ） 😭
取り出し	取り出し ⏏️
だんせいかがくしゃ	だんせいかがくしゃ 👨‍🔬
ヴィエス	ヴィエス 🆚
くーる	くーる 🆒 😎
がまん	がまん 😣
みぎむきのこぶし	みぎむきのこぶし 🤜
おおきいまる	おおきいまる 🔴 🔵
にく	にく 🍖 🍗 🥓 🥩
疲れた顔	疲れた顔 😫
あせあせ（飛び散る汗）	あせあせ（飛び散る汗） 💦
にし	にし ⬅️
にじ	にじ 🌈 🕑️
白四角大	白四角大 ◻️
女性宇宙飛行士	女性宇宙飛行士 👩‍🚀
ロッククライマー	ロッククライマー 🧗
アンドラ	アンドラ 🇦🇩
はんまーとれんち	はんまーとれんち 🛠️
じてんしゃにのるじん	じてんしゃにのるじん 🚴
あくま	あくま 👿 😈
ぐーぐー	ぐーぐー 💤 😴 🛌
ビタミンＣ	ビタミンＣ 🍊
キリン	キリン 🦒
オットセイ	オットセイ 🦭
美容院	美容院 ✂️ 💇 💇‍♀️ 💇‍♂️ 💈
ミルクティー	ミルクティー 🧋
シリアル	シリアル 🥣
りびあ	りびあ 🇱🇾
山から日の出	山から日の出 🌄
緑ハート	緑ハート 💚
スニーカー	スニーカー 👟
にやりとする猫	にやりとする猫 😼
和	和 🎋 🎍 🎎
がいあな	がいあな 🇬🇾
うそでしょ	うそでしょ 🤦 🤦 🤦‍♀️ 🤦‍♀️ 🤦‍♂️ 🤦‍♂️
にわ	にわ 🏡
たこあげ	たこあげ 🪁
牛の顔	牛の顔 🐮
ふんすい	ふんすい ⛲️
おいしそう	おいしそう 😋 😋
たいこ	たいこ 🥁 🪘
メール受信中	メール受信中 📨
わかれた	わかれた 💔
ネット	ネット 🥅
みぎうえやじるし	みぎうえやじるし ↗️
みんぞくいしょう	みんぞくいしょう 🥻
ゴムぞうり	ゴムぞうり 🩴
まんりき	まんりき 🗜️
かしゅ	かしゅ 👨‍🎤 👩‍🎤 🧑‍🎤
ＵＰ	ＵＰ 🆙
たいむ	たいむ ⏱️
サービス料	サービス料 🈂️
はつかねずみ	はつかねずみ 🐁
ウェディング	ウェディング 👰
れっどきどにー	れっどきどにー 🫘
ひな人形	ひな人形 🎎
こうしゃ	こうしゃ 🏫
そつぎょうしき	そつぎょうしき 🎓️
たいや	たいや 🛞
ばっくぱっく	ばっくぱっく 🎒 🥾
バッド（下向き矢印）	バッド（下向き矢印） ⤵️
おひめさま	おひめさま 👸
あきらめ	あきらめ 😩 😩 😮‍💨 😮‍💨
パーティークラッカー	パーティークラッカー 🎉
雪雲	雪雲 🌨️
重量挙げをする男	重量挙げをする男 🏋️‍♂️
えむでぃー	えむでぃー 💽
じょせいとじょせいとおとこのこのかぞく	じょせいとじょせいとおとこのこのかぞく 👩‍👩‍👦
聞く	聞く 👂️
電話１（プッシュホン）	電話１（プッシュホン） ☎️
ドーナツ	ドーナツ 🍩
じょせいしょうぼうし	じょせいしょうぼうし 👩‍🚒
こうしん	こうしん 🆙 🔄
タクシー	タクシー 🚕 🚖 🛺
あおいほん	あおいほん 📘
がっかり	がっかり 😔 😔 😞 😞
しぇいぶあいす	しぇいぶあいす 🍧
だんせいとだんせいとおんなのこのかぞく	だんせいとだんせいとおんなのこのかぞく 👨‍👨‍👧
ラオス	ラオス 🇱🇦
唇	唇 👄 💋 🫦
ロマンス	ロマンス 💒
とめがね	とめがね 🪝
レスリングする人	レスリングする人 🤼
手荷物受取	手荷物受取 🛄
予定	予定 📅 📆 🗓️
スキーヤー	スキーヤー ⛷️
まきげ	まきげ 👨‍🦱 👩‍🦱 🦱 🧑‍🦱
ぼーるぺん	ぼーるぺん 🖊️
おとなふたりとこどもひとりのかぞく	おとなふたりとこどもひとりのかぞく 🧑‍🧑‍🧒
たーくすかいこすしょとう	たーくすかいこすしょとう 🇹🇨
すぴーかーしょうおん	すぴーかーしょうおん 🔇
じゅうりょうあげをするおとこ	じゅうりょうあげをするおとこ 🏋️‍♂️
しゅちょう	しゅちょう 🪧
とりすたんだくーにゃ	とりすたんだくーにゃ 🇹🇦
ぺーぱーたおる	ぺーぱーたおる 🧻
TMまーく	TMまーく ™️
八分音符	八分音符 🎵
てぃーしゃつ	てぃーしゃつ 👕
トラックボール	トラックボール 🖲️
火花	火花 🎇 🧨
パイロット	パイロット 👨‍✈️ 🧑‍✈️
あふろこーむ	あふろこーむ 🪮
黒四角特大	黒四角特大 ⬛️
家畜	家畜 🐄 🐎 🐐 🐑 🐖
球技	球技 ⛹️ ⛹️‍♀️ ⛹️‍♂️ 🏌️ 🏌️‍♀️ 🤽 🤽‍♀️ 🤽‍♂️ 🤾 🤾‍♀️ 🤾‍♂️
しょうこうき	しょうこうき 🛗
ウズベキスタン	ウズベキスタン 🇺🇿
杖をついた女性	杖をついた女性 👩‍🦯 👩‍🦯‍➡️
うるうる	うるうる 🥹 🥹
キルギス	キルギス 🇰🇬
cool	cool 🆒
ドラゴンの顔	ドラゴンの顔 🐲
あらーむ	あらーむ ⏰️
カードインデックス	カードインデックス 📇
お城（西洋）	お城（西洋） 🏰
とまどい	とまどい 😳 😳
湯気	湯気 ♨️
善	善 🦸 🦸‍♀️ 🦸‍♂️
れきし	れきし 🏛️
のうぎょう	のうぎょう 🧑‍🌾
おわんぼう	おわんぼう 👲
せいちょう	せいちょう 📈
しゅうかく	しゅうかく 🧺
へとへと	へとへと 😩 😩
グレー	グレー 🦳 🩶
悪意	悪意 🖤
手を挙げる人	手を挙げる人 🙋
作業員	作業員 👷 👷‍♀️ 👷‍♂️ 🧑‍🔧
あんないするおんな	あんないするおんな 💁 💁‍♀️
ヤギ	ヤギ 🐐
こわい	こわい 👹 👻 😨
モルドバ	モルドバ 🇲🇩
青い顔	青い顔 😰 🥶
ヤシ	ヤシ 🌴 🏝️
封筒	封筒 ✉️ 💌 📧 📨
ホットドッグ	ホットドッグ 🌭
オフィスビル	オフィスビル 🏢
れすりんぐ	れすりんぐ 🤼 🤼‍♀️ 🤼‍♂️
月見	月見 🎑
バイク	バイク 🏍️ 🛵
しょっぴんぐ	しょっぴんぐ 👜 🛒
NEW	NEW 🆕
不機嫌な男	不機嫌な男 🙎‍♂️
メールする	メールする 📩
ホルスタイン	ホルスタイン 🐮
営	営 🈺
バイス	バイス 🗜️
表情（がっかり）	表情（がっかり） 😞
画びょう	画びょう 📍
よぼうせっしゅ	よぼうせっしゅ 💉
ていくあうとべんとう	ていくあうとべんとう 🥡
ぷー（かわいく怒）	ぷー（かわいく怒） 😡
ウィスキー	ウィスキー 🥃
ろくおん	ろくおん ⏺️
さびしい	さびしい 😢
右肩下がり	右肩下がり 📉
じゅにゅうするだんせい	じゅにゅうするだんせい 👨‍🍼
さんとめぷりんしぺ	さんとめぷりんしぺ 🇸🇹
にこにこ	にこにこ 😊 😊 😋
ふつりょうぽりねしあ	ふつりょうぽりねしあ 🇵🇫
アンテナ	アンテナ 📡
こわれたくさり	こわれたくさり ⛓️‍💥
このは	このは 🍂 🍃
じょせいとじょせいとおんなのこのかぞく	じょせいとじょせいとおんなのこのかぞく 👩‍👩‍👧
マラカス	マラカス 🪇
とうひょうばこ	とうひょうばこ 🗳️
チェックマーク	チェックマーク ☑️ ✅️ ✔️
とう	とう 🗼
スカーフの女性	スカーフの女性 🧕
引き算	引き算 ➖️
凶器	凶器 🔪
表情（ラブラブ）	表情（ラブラブ） 😍
かんがえちゅう	かんがえちゅう 🤔
営業中マーク	営業中マーク 🈺
しょうせつ	しょうせつ 📖 📚️
女性パイロット	女性パイロット 👩‍✈️
赤い封筒	赤い封筒 🧧
ストーン	ストーン 🥌
嘘	嘘 🤥
めとろ	めとろ 🚇️
次の曲ボタン	次の曲ボタン ⏭️
とく	とく 🉐
男の精霊	男の精霊 🧞‍♂️
とげ	とげ 🦔 🦔
ラケット	ラケット 🎾 🏓 🏸
飲用不可	飲用不可 🚱
とし	とし 🌆 🏙️
上	上 ⏫️ ☝️ ⤴️ ⬆️ 👆️ 👍️ 🔝 🔺 🔼 🖕 🫴
らむ	らむ 🥩
下	下 ⏬️ ⤵️ ⬇️ 👇️ 👎️ 🔻 🔽 🫳
おでん	おでん 🍢 🍢
待て	待て 🫷 🫸
くりっぱーとんとう	くりっぱーとんとう 🇨🇵
ばっく	ばっく 🔙
ばっぐ	ばっぐ 👜 👝 🛍️
領収書	領収書 🧾
とら	とら 🐅 🐯
かえるのかお	かえるのかお 🐸
とど	とど 🦭
とり	とり 🐓 🐔 🐣 🐤 🐥 🐦️ 🐦‍⬛ 🐧 🕊️ 🦃 🦅 🦆 🦉 🦚 🦜 🦢 🦤 🦩 🪶 🪽 🪿
フィッシング	フィッシング 🎣 🐟️
さいくつ	さいくつ ⛏️
とっくり（おちょこ付き）	とっくり（おちょこ付き） 🍶
けつえきがたびーがた	けつえきがたびーがた 🅱️
ばっじ	ばっじ 📛
らば	らば 🫏
うれしい顔	うれしい顔 😆
マイタイ	マイタイ 🍹
がくせい	がくせい 👨‍🎓 👩‍🎓 🧑‍🎓
とぶ	とぶ 🪶 🪽
ばった	ばった 🦗
らぶ	らぶ 💕 😍 🥰 🩵 🩶 🩷 🫶
ちいさいあおのひしがた	ちいさいあおのひしがた 🔹
姿見	姿見 🪞
ぜぶら	ぜぶら 🦓
ライオンの顔	ライオンの顔 🦁
紳士服	紳士服 👕
いい気分（温泉）	いい気分（温泉） ♨️
そらいろ	そらいろ 🩵
きゃっち	きゃっち 🤾 🤾‍♀️
らぼ	らぼ 🧪
ぎゃんぶる	ぎゃんぶる 🎰
海獣	海獣 🦭
らま	らま 🦙
ばっと	ばっと 🏏
ばっど	ばっど ⤵️
泳ぐ人	泳ぐ人 🏊️
中	中 🀄️
じゅもく	じゅもく 🪵
寒い	寒い 😰 🧣 🧥
串	串 🍡 🍢
しいたけ	しいたけ 🍄‍🟫 🍄‍🟫
すなはま	すなはま ⛱️ 🏖️
ほーむ	ほーむ 🏡
玉ねぎ	玉ねぎ 🧅
不機嫌	不機嫌 😾 🙎 🙎‍♀️ 🙎‍♂️
丸	丸 ⏺️ Ⓜ️ ⚪️ ⚫️ 🔴 🔵 🙆 🙆‍♀️ 🙆‍♂️ 🟠 🟡 🟢 🟣 🟤
わからん	わからん 😖
ふあん	ふあん 😨
きゃっぷ	きゃっぷ 🧢
はいたっち	はいたっち 🙏 🫷 🫸
亀	亀 🐢
ダイビング	ダイビング 🤿 🥽 🦪
たきしーどのひと	たきしーどのひと 🤵
ほーる	ほーる ⛳️
寒さ	寒さ 🥶
人のシルエット	人のシルエット 👤
農業	農業 🧑‍🌾
音無し	音無し 🔇 🔕
南西	南西 ↙️
こんせんと	こんせんと 🔌
COOL!	COOL! 🆒
じゅもん	じゅもん 🧙
石材	石材 🪨
ufo	ufo 🛸
限界	限界 😫
クール	クール 🆒 😎
とーく	とーく 💬
ロボットの顔	ロボットの顔 🤖
まんてん	まんてん 💯
椅子	椅子 💺 🦼 🦽 🪑
おとこのきゅうけつき	おとこのきゅうけつき 🧛‍♂️
とーご	とーご 🇹🇬
さむずあっぷ	さむずあっぷ 👍️
そくてんするおとこ	そくてんするおとこ 🤸‍♂️
花粉症	花粉症 😷 🤧
笑った悪魔	笑った悪魔 😈
ラトル	ラトル 🪇
電波状況	電波状況 📶
ノート２（開）	ノート２（開） 📖
ハリウッド	ハリウッド 🎥
ゆうがいぶっしつ	ゆうがいぶっしつ ☣️
パラオ	パラオ 🇵🇼
赤い丸	赤い丸 ⭕️ 🔴
名札	名札 📛
はたつきぽすと	はたつきぽすと 📪️ 📫️
惑星	惑星 🪐
やや欠け月	やや欠け月 🌔
癒し	癒し 💆
イギリス	イギリス 🇬🇧
困惑した顔	困惑した顔 😖
グラフ	グラフ 💹 📈 📊
はくじゅうじ	はくじゅうじ ⛑️
ぴーすまーく	ぴーすまーく ☮️
カウガール	カウガール 🤠
トレードマーク	トレードマーク ™️
入場券	入場券 🎟️ 🎫
眠い（ＺＺＺ…）	眠い（ＺＺＺ…） 💤
極秘	極秘 ㊙️
グラス	グラス 🍷 🍸️ 🥂 🥃 🥛
進入禁止	進入禁止 ⛔️
人	人 👨‍🍼 👩‍🍼 👰 👱 🙅 🙆 🙋 🚶 🚶‍➡️ 🤦 🤵 🤷 🥷 🦹 🧍 🧎 🧎‍➡️ 🧏 🧑‍🍼 🧑‍🎄 🧑‍🤝‍🧑 🧔
クラウン	クラウン 👑
におい	におい 🧄 🧄
くびをよこにふる	くびをよこにふる 🙂‍↔️
レスリングをする	レスリングをする 🤼‍♀️ 🤼‍♂️
白四角小	白四角小 ▫️
こいぬのめ	こいぬのめ 🥺
ふあー	ふあー 🥱
握手	握手 🤝 🫱 🫲
サボテン	サボテン 🌵 🏜️
てにす	てにす 🎾
民族衣装	民族衣装 🥻
浴槽	浴槽 🛀 🛁
ふぁんたじー	ふぁんたじー 🐦‍🔥 🧌 🧙 🧚 🧝 🧞
自転車乗り	自転車乗り 🚴 🚴‍♀️ 🚵 🚵‍♀️
でざーと	でざーと 🍡 🍦 🍧 🍨 🍩 🍪 🍫 🍮 🍰
お弁当	お弁当 🍱
ぱえりあなべ	ぱえりあなべ 🥘
子ども	子ども 🧒
ちゃいろいしかく	ちゃいろいしかく 🟫
リゾート	リゾート ⛵️
山羊座	山羊座 ♑️
レスリングする女	レスリングする女 🤼‍♀️
グラフ２	グラフ２ 📉
かっぷる	かっぷる 👨‍❤️‍👨 👨‍❤️‍💋‍👨 👩‍❤️‍👨 👩‍❤️‍👩 👩‍❤️‍💋‍👨 👩‍❤️‍💋‍👩 👫 👬 👭 💏 💑 🧑‍🤝‍🧑
しろしかくだい	しろしかくだい ◻️
へいし	へいし 🪖
ふぇろーしょとう	ふぇろーしょとう 🇫🇴
スーツケース	スーツケース 🛄 🛅 🧳
技術者	技術者 🧑‍💻
てれび	てれび 📺️
みぎがわ	みぎがわ 🫱
コンピュータ	コンピュータ 👨‍💻 👩‍💻 🧑‍💻
セラピスト	セラピスト 👨‍⚕️ 👩‍⚕️ 🧑‍⚕️
もばいる	もばいる 📱 📲
ごみすて	ごみすて 🚮
男性警察官	男性警察官 👮‍♂️
パトカー正面	パトカー正面 🚔️
いそぐ	いそぐ 🏃 🏃‍♀️ 🏃‍♀️‍➡️ 🏃‍➡️ 💨
いそげ	いそげ 💨
放る	放る 🤾 🤾‍♀️
返って来る	返って来る 🪃
ラベンダー	ラベンダー 🪻
ばすたぶ	ばすたぶ 🛀 🛁
アメリカ	アメリカ 🌎️ 🗽
メモ	メモ 📋️ 📝
バルカン人	バルカン人 🖖
すとらでぃばりうす	すとらでぃばりうす 🎻
へいわ	へいわ ☮️ 🕊️ 😇
かどまつ	かどまつ 🎍
ミルキーウェイ	ミルキーウェイ 🌌
coolまーく	coolまーく 🆒
ここなっつ	ここなっつ 🥥
たいたにっくごう	たいたにっくごう 🚢
携帯電話電源オフ	携帯電話電源オフ 📴
あーと	あーと 🎨 🖼️
キッチンペーパー	キッチンペーパー 🧻
ねむい	ねむい 😪 😴 🥱 🫩
城	城 🏯 🏰
ふりかけようき	ふりかけようき 🧂
おーけー	おーけー 🆗 👌 👍️ 🙆 🙆‍♀️ 🙆‍♂️ 🫡
パラグアイ	パラグアイ 🇵🇾
ゆう	ゆう 🈶
ピーナッツ	ピーナッツ 🥜
えいがかめら	えいがかめら 🎥
競輪	競輪 🚴 🚴‍♀️ 🚴‍♂️
おっはー	おっはー 👐 👐
ぴーなっつ	ぴーなっつ 🥜
ジャグリングをする男	ジャグリングをする男 🤹‍♂️
しょうじょ	しょうじょ 👧
ゆき	ゆき ☃️ ⛄️ ❄️ 🌨️ 🎿 🏔️
ネクタイ	ネクタイ 👔
しょるい	しょるい 📃 📄 📜
マル秘	マル秘 ㊙️
ほじょけん	ほじょけん 🦮
ゆげ	ゆげ ♨️
ラグビー	ラグビー 🏉
新月	新月 🌑 🌚
手を挙げる女	手を挙げる女 🙋‍♀️
スケジュール	スケジュール 📅 📆 🗓️
しごせん	しごせん 🌐
ばーばー	ばーばー 💈
バス停	バス停 🚏
ねむる	ねむる 😪 😴
はしるひと	はしるひと 🏃 🏃‍➡️
せいようのしろ	せいようのしろ 🏰
カップケーキ	カップケーキ 🧁
ゆり	ゆり ⚜️
ごーるど	ごーるど 🥇
しょくだい	しょくだい 🕎
絵画	絵画 🎨 🖼️
緑の本	緑の本 📗
右回り縦矢印	右回り縦矢印 🔃
とりにだーどとばご	とりにだーどとばご 🇹🇹
うんこ	うんこ 💩 💩
のーとぱそこん	のーとぱそこん 💻️
ウェイトリフティング	ウェイトリフティング 🏋️ 🏋️‍♀️ 🏋️‍♂️
火薬	火薬 🧨
ゆび	ゆび ✌️ 🈯️ 👆️ 👇️ 👈️ 👉️ 🖕 🤌 🤏 🤞 🫰 🫵
カバン	カバン 👜
プレイ	プレイ ▶️
壊れた鎖	壊れた鎖 ⛓️‍💥
トマト	トマト 🍅
はやもどしぼたん	はやもどしぼたん ⏪️
うんち	うんち 💩 💩
工場・建物	工場・建物 🏢
塔	塔 🗼
ゆみ	ゆみ 🏹
わがし	わがし 🍡
アルコール	アルコール 🍷 🍸️ 🍹 🍺 🍻
ＯＫ	ＯＫ 🆗 👌 🙆
もりのひと	もりのひと 🦧
ばすけっとぼーるをするおんな	ばすけっとぼーるをするおんな ⛹️‍♀️
ニューカレドニア	ニューカレドニア 🇳🇨
オオカミの顔	オオカミの顔 🐺
キリスト教	キリスト教 ☦️ ⛪️ ✝️
ほうき	ほうき 🧹 🧹
あんぜんぴん	あんぜんぴん 🧷
森の人	森の人 🦧
ごらいこう	ごらいこう 🌄
かける	かける ✖️ ✖️
まふらー	まふらー 🧣
ボケーっとした顔	ボケーっとした顔 😒
ライト	ライト 🔦
塩	塩 🧂
りゅーじゅ	りゅーじゅ 🛷
にじゅうよじかんえいぎょう	にじゅうよじかんえいぎょう 🏪
悪	悪 🦹 🦹‍♀️ 🦹‍♂️
むらさきのしかく	むらさきのしかく 🟪
かんかん	かんかん 👿 👿 😡 😡
へたなげ	へたなげ 🥎
ドル記号	ドル記号 💲
ぐれーぷ	ぐれーぷ 🍇
えるさるばどる	えるさるばどる 🇸🇻
ライス	ライス 🍚 🍛
全問正解	全問正解 💯
壁	壁 🧱
ナイジェリア	ナイジェリア 🇳🇬
ライム	ライム 🍋‍🟩
定規１	定規１ 📏
パワーリフティング	パワーリフティング 🏋️
定規２	定規２ 📐
すまーとふぉんきんし	すまーとふぉんきんし 📵
バゲット	バゲット 🥖
情報	情報 ℹ️
彗星	彗星 ☄️
かけづき	かけづき 🌔
くりっぷ	くりっぷ 📋️ 📎 🖇️
だんせいのようせつこう	だんせいのようせつこう 👨‍🏭
ひたいに手	ひたいに手 🤦 🤦‍♀️ 🤦‍♂️
いもむし	いもむし 🐛
プッシュピン（画鋲）	プッシュピン（画鋲） 📍
ホイール	ホイール 🛞
バゲッジクレーム	バゲッジクレーム 🛄
愛	愛 ❤️ ❤️‍🔥 💛 💜 🩵 🩶 🩷 🪉 🫰 🫶
内緒	内緒 🙊 🤐 🤭
国旗（ロシア）	国旗（ロシア） 🇷🇺
八角星	八角星 ✴️
指差し（左）	指差し（左） 👈️
どうせい	どうせい 👬 👭
七夕	七夕 🎋
泳ぐ女	泳ぐ女 🏊‍♀️
えがお	えがお ☺️ 😀 😁 😂 😃 😄 😅 😆 😇 😈 😊 😋 😍 😎 😙 😸 😹 😺 😻 🙂 🙃 🤗 🤣 🤩 🤭 🥰 🥳
下に向けた手	下に向けた手 🫳
星座（やぎ座）	星座（やぎ座） ♑️
ふたこぶ	ふたこぶ 🐫
しずく	しずく 💦 💦 💧 💧
あくびしたかお	あくびしたかお 🥱
青りんご	青りんご 🍏
充電不足	充電不足 🪫
ベリーズ	ベリーズ 🇧🇿
夏	夏 🎐 🪭
れべるすらいだー	れべるすらいだー 🎚️
プライド	プライド 🏳️‍🌈
口が斜めの顔	口が斜めの顔 🫤
開ける	開ける 🪟
そうしょくきょうりゅう	そうしょくきょうりゅう 🦕
毛糸	毛糸 🧶
夜空	夜空 🌌
うぇでぃんぐ	うぇでぃんぐ 👰
壺	壺 🍯 🏺
きゅうめいぐ	きゅうめいぐ 🛟
夜	夜 🌃 🌉 🌠
アセンション島	アセンション島 🇦🇨
一時停止	一時停止 ⏯️ ⏸️
2つのハート	2つのハート 💕
えじぷと	えじぷと 🇪🇬
しゃっふるぼたん	しゃっふるぼたん 🔀
ひきつける	ひきつける 🧲
サイン	サイン 🚧
相方	相方 👯
にゅうりょく	にゅうりょく 🔠 🔡 🔢 🔣 🔤
2時半	2時半 🕝️
あやつる	あやつる 🤹 🤹‍♂️
引き付ける	引き付ける 🧲
いんふぉめーしょん	いんふぉめーしょん ℹ️
しろいかんたんふ	しろいかんたんふ ❕️
ひだりむきさんかく	ひだりむきさんかく ◀️
こわれたはーと	こわれたはーと 💔
裁縫	裁縫 🧵 🪡
アイス	アイス 🍦 🍧 🍨
